"","ONCODG1","OAW28","EFO27","EFO21","RMUGS","RMGI","NIHOVCAR3","SNU8","SKOV3","Caov3","Caov4","OC314","OAW42","TOV21G","OVMANA","FUOV1","OVKATE","MCAS","IGROV1","OVCAR4","OVCAR8","OV7","OV90","OV56","OVISE","OVK18","TYKnu","JHOC5","JHOM1","JHOM2B","JHOS2","JHOS4","SNU119","COV318","COV362","COV644","A2780","KURAMOCHI","TOV112D","HeyA8","OVTOKO","OVSAHO","X59M","ES2"
"DYDC2",8.31480536200059,3.00329048056105,2.90627349520998,1.83943029387113,1.67876217963358,0.451834381862735,6.78216535023912,1.94579736399999,1.6701451341909,5.30333236669101,5.37696531689344,1.56204372492984,0.451834381862735,2.90587400887458,3.57619955546918,4.67174073148367,7.24119936803116,0.451834381862735,0.451834381862735,5.95444697994397,6.40002502729365,1.79446714069703,0.451834381862735,1.94580219102648,2.88465292618844,2.50766207994219,0.451834381862735,0.451834381862735,4.60789547844635,0.451834381862735,4.60446185430148,6.11638773476602,3.39457323546608,3.74951004840239,4.17330942808658,0.451834381862735,0.451834381862735,5.08668930575461,0.451834381862735,3.12933753518276,0.451834381862735,4.80906133644052,2.14461125131261,2.8531767724941
"MYCNOS",4.8801798331649,5.24225271259319,0.451834381862735,0.451834381862735,1.67876217963358,0.451834381862735,3.33108321234709,2.68974599022066,0.451834381862735,0.451834381862735,6.64760483455392,2.29470153533876,1.59716548045943,0.451834381862735,0.451834381862735,2.50238313456375,6.42480039434134,0.451834381862735,3.17518887327912,5.08294613076251,0.451834381862735,1.79446714069703,3.85011103774379,1.53074822989358,2.26215869026023,1.81375331273491,0.451834381862735,0.451834381862735,1.61868772610896,0.451834381862735,1.55117406150428,5.4426015076256,4.02362203170888,7.8012197663183,2.29983701188615,4.30427676031034,1.99264990504664,4.10091570922206,0.451834381862735,0.451834381862735,0.451834381862735,2.70183918834847,0.451834381862735,0.451834381862735
"MXRA5Y",1.46632892635973,7.23147954203176,0.451834381862735,3.82924691747094,0.451834381862735,0.451834381862735,2.75535855806511,4.97830060235047,3.29097649164993,7.73362756282304,0.451834381862735,0.451834381862735,7.03109406623062,3.65588890362622,0.451834381862735,5.83414936225836,1.64520236064016,0.451834381862735,1.69719555856937,3.29694550312545,0.451834381862735,0.451834381862735,0.451834381862735,5.39073538146394,2.26215869026023,0.451834381862735,0.451834381862735,0.451834381862735,6.50083960038659,0.451834381862735,5.17068207683202,7.96290217287753,2.20259374747406,2.50107751880018,7.45667436493317,3.34461151553784,0.451834381862735,2.18941435355807,0.451834381862735,0.451834381862735,0.451834381862735,3.10527532731667,1.68113498911435,0.451834381862735
"SYNDIG1",2.89064383970598,9.11281915098808,5.77646175290806,0.451834381862735,0.451834381862735,1.93144157609489,4.45760288594951,1.94579736399999,7.48919991519542,3.27269100335585,9.86605017968083,2.29470153533876,7.81542038815261,0.451834381862735,2.05485827364415,7.46463077661715,0.451834381862735,0.451834381862735,5.5917971153831,4.26945788287667,1.56801627441701,2.29246933310086,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,2.38136173355463,0.451834381862735,2.52189202011838,4.61768095537864,2.38392512883855,8.07531949639562,3.58461261902054,0.451834381862735,0.451834381862735,9.33433281650262,0.451834381862735,0.451834381862735,0.451834381862735,7.41906430761776,4.2864265355044,5.31225075986975
"CYP26C1",2.14632525006214,6.42867493838955,1.65184808287029,3.1154023663095,0.451834381862735,1.93144157609489,3.73655004033235,1.53074460520565,1.6701451341909,5.42803835320384,6.18624492046085,1.98741597259112,0.451834381862735,1.6516207506593,0.451834381862735,0.451834381862735,5.59270015188306,1.8614490970344,2.16566815001418,6.39004835528151,6.67978915030055,0.451834381862735,2.15858698330575,0.451834381862735,0.451834381862735,1.81375331273491,2.89968972534244,0.451834381862735,0.451834381862735,0.451834381862735,4.60446185430148,6.5585819632723,5.26683996719096,6.53602032223951,7.31647453166555,0.451834381862735,0.451834381862735,4.93649787732488,2.87488779516296,0.451834381862735,0.451834381862735,2.91857510443409,5.26845760220513,0.451834381862735
"GRID2",3.79447053878159,2.55189575719742,0.451834381862735,3.1154023663095,0.451834381862735,0.451834381862735,4.88302823471837,1.53074460520565,0.451834381862735,2.85298690621008,3.72936790200739,0.451834381862735,1.59716548045943,1.6516207506593,0.451834381862735,0.451834381862735,5.14437155896529,0.451834381862735,2.98544776209465,0.451834381862735,1.99534340686719,0.451834381862735,1.69179169239647,0.451834381862735,1.54091582931337,2.09260003381505,0.451834381862735,1.9906153032694,3.03108951495031,0.451834381862735,1.55117406150428,3.3948035661905,0.451834381862735,7.57355684713794,4.53618589268542,0.451834381862735,5.03020252567161,6.07780289145342,3.1700800383018,1.78112707587414,0.451834381862735,6.55500628488655,3.59362943348831,4.43603591789264
"LINC00824",3.63816042229685,3.00329048056105,1.65184808287029,6.20431318140992,1.67876217963358,0.451834381862735,2.49137687617532,1.53074460520565,2.13018291340608,0.451834381862735,11.5652862442572,0.451834381862735,1.59716548045943,0.451834381862735,0.451834381862735,2.50238313456375,10.109987635891,0.451834381862735,0.451834381862735,1.67330081909131,2.93610536700735,2.64485532754642,2.15858698330575,2.24645538262469,1.95933586181463,1.43205211048549,0.451834381862735,0.451834381862735,3.46830862208049,0.451834381862735,3.99570099299632,2.68359967813484,1.36652830042033,3.34319927414965,0.451834381862735,2.06727024090655,1.56598659467433,3.66092572614742,0.451834381862735,2.90070281213958,0.451834381862735,2.11534464980741,2.47590890586065,1.62176116354264
"DIRAS2",12.2461304386335,13.1613545133748,0.451834381862735,8.95764303738457,9.37826937683911,11.3240602372158,11.4142857478422,6.09620247805994,6.17069772484773,3.97031095972193,8.45528697349741,5.65364990198652,3.65281863272959,7.01058146596986,7.72884561840749,3.86427924362564,10.8701643590099,0.451834381862735,5.22403706799345,4.61521476844517,1.56801627441701,0.451834381862735,1.69179169239647,5.04997678292086,8.59545273119513,1.81375331273491,0.451834381862735,3.08709457128804,3.03108951495031,0.451834381862735,7.99100910573621,10.6164955256464,2.68340552272335,8.57147194017292,5.63764916542132,2.64137247543603,1.56598659467433,7.59073141368403,5.96770559648787,0.451834381862735,0.451834381862735,5.43546969892878,2.73850282339987,0.451834381862735
"BMPR1B-DT",8.5418123278193,1.45577350514548,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,8.4310961441091,4.90287179526312,4.47975881477265,1.7514664719712,7.18972010980141,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,2.98813468506487,4.35561720420464,3.02827001246255,7.51318942176555,1.67330081909131,0.451834381862735,0.451834381862735,5.44324224817702,1.94580219102648,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,6.35858701868935,0.451834381862735,0.451834381862735,8.40961511568906,0.451834381862735,7.49760883514907,5.36513929357802,0.451834381862735,5.42545773974558,6.9991659287834,2.25426045280673,2.27515395699874,0.451834381862735,8.48721844592824,0.451834381862735,0.451834381862735
"SELENOV",8.60844682016913,6.75772123802424,2.10612583714707,3.42720668232727,2.14149739019432,0.451834381862735,9.48278718819329,2.2464497795843,1.6701451341909,5.95558058061096,1.91166641507725,1.98741597259112,0.451834381862735,0.451834381862735,5.87763389823719,4.1576824655889,2.09737710768462,0.451834381862735,0.451834381862735,4.4179236477982,0.451834381862735,0.451834381862735,6.43454588433186,0.451834381862735,3.30759908415955,2.50766207994219,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,1.55117406150428,5.33989838712975,6.71486060176188,5.88609057290874,1.56538491961369,0.451834381862735,4.17471434419439,5.1787538174627,6.7097245924556,0.451834381862735,0.451834381862735,4.23799002062622,2.14461125131261,0.451834381862735
